title,alternativeTitle,regDate,subjectCategory,person,referenceIdentifier
페이스풀 맨,A FAITHFUL MAN,2019,"드라마,멜로/로맨스,코메디","릴리 로즈 멜로디 뎁(이브),루이스 가렐(아벨),래티시아 카스타(마리안느)",http://file.koreafilm.or.kr/thm/02/00/05/41/TN_DPF019674.jpg
마리오 보타 : 영혼을 위한 건축,MARIO BOTTA. THE SPACE BEYOND,2019,인물,"마리오 보타,줄리아노 반지,이상각",http://file.koreafilm.or.kr/thm/02/00/05/41/TN_DPB000918.jpg
차일드 인 타임,THE CHILD IN TIME,2019,드라마,"베네딕 컴버배치(스티븐 루이스),켈리 맥도날드(줄리),스테판 캠벨 무어(찰스)",http://file.koreafilm.or.kr/thm/02/00/05/41/TN_DPF019673.jpg
스타워즈: 라이즈 오브 스카이워커,STAR WARS: THE RISE OF SKYWALKER,2019,"액션,어드벤처,판타지,SF","데이지 리들리(레이),존 보예가(핀),오스카 아이삭(포 다메론)",http://file.koreafilm.or.kr/thm/02/00/05/41/TN_DPF019659.jpg
더 킬러,EVIL THAT MEN DO,2019,스릴러, ,http://file.koreafilm.or.kr/thm/02/00/05/41/TN_DPF019657.jpg
"카페, 한 사람을 기다리다",CAFE WAITING LOVE,2019,멜로/로맨스,"송운화(리 쓰잉),브루스(아토우),뢰아연(아부쓰)",http://file.koreafilm.or.kr/thm/02/00/05/41/TN_DPF019655.jpg
트윈 플라워,TWIN FLOWER,2019,드라마,"지오지오 콜란겔리(피오레이오),아니엘로 아레나(맨프레디),파우스토 베르지넬리(스텔라)",http://file.koreafilm.or.kr/thm/02/00/05/41/TN_DPF019654.jpg
나비처럼 날아서,FLOAT LIKE A BUTTERFLY,2019,드라마,"헤이젤 더프(프란시스),대라 드바니(마이클),에이단 오헤르(서전트)",http://file.koreafilm.or.kr/thm/02/00/05/41/TN_DPF019653.jpg
퍽 유,FUCK YOU,2019,드라마, ,http://file.koreafilm.or.kr/thm/02/00/05/41/TN_DPF019652.jpg
더 필드,THE FIELD,2019,드라마, ,http://file.koreafilm.or.kr/thm/02/00/05/41/TN_DPF019651.jpg
야수,FAUVE,2019,드라마,펠릭스 그레니어,http://file.koreafilm.or.kr/thm/02/00/05/41/TN_DPF019650.jpg
브라더후드,BROTHERHOOD,2019,"드라마,가족", ,http://file.koreafilm.or.kr/thm/02/00/05/41/TN_DPF019649.jpg
로즈 인 페브러리,ROADS IN FEBRUARY,2019,드라마,"알렌 아구아요-스튜어트(사라),글로리아 데마시,마티아스 페르디곤",http://file.koreafilm.or.kr/thm/02/00/05/41/TN_DPF019648.jpg
위대한 작은 농장,THE BIGGEST LITTLE FARM,2019,"자연ㆍ환경,지역","존 체스터(본인),몰리 체스터(본인)",http://file.koreafilm.or.kr/thm/02/00/05/41/TN_DPB000917.jpg
울지마 톤즈 2 : 슈크란 바바,(ULJIMA TONJEU 2 : SYUKEURAN BABA),2019,인물,"이태석(본인),이금희(나레이션)",http://file.koreafilm.or.kr/thm/02/00/05/41/TN_DPA001033.jpg
화광여인,THE LADY IN THE PORTRAIT,2019,"드라마,멜로/로맨스","판빙빙,멜빌 푸포,오월",http://file.koreafilm.or.kr/thm/02/00/05/41/TN_DPF019646.jpg
뮤지컬 브로드웨이 42번가,42ND STREET: THE MUSICAL,2019,뮤지컬,"톰 리스터(줄리안 마쉬),클레어 할세(페기 소여),애슐리 데이(빌리)",http://file.koreafilm.or.kr/thm/02/00/05/41/TN_DPB000916.jpg
에일리언 2020,PROJECT ITHACA,2019,"SF,스릴러,액션","제임스 갈렌더스(존 브라이튼),데라 캠벨(세라),다니엘 파더스(페리 불머)",http://file.koreafilm.or.kr/thm/02/00/05/41/TN_DPF019645.jpg
